Korszak/Irányzat;Fogalma;Jellemzők és kulcsszavak
Antikvitás (Kr. e. 8. sz. – Kr. u. 5. sz.);A görög és római kultúra korszaka, amely az európai művészet, irodalom és filozófia alapköveit tette le.;Harmónia, mértéktartás (szophroszüné), ember és isten kapcsolata, mitológia, hexameter, eposzok és tragédiák kora (pl. Homérosz, Szophoklész, Vergilius).
Középkor (5. sz. – 15. sz.);A keresztény vallás és a teocentrikus (Isten-központú) világkép által meghatározott évezredes korszak.;Latin és nemzeti nyelvűség, vallásos himnuszok, lovagi epika (trubadúrok), legendák, prédikációk, haláltánc, kódexirodalom (pl. Dante, Villon, Halotti beszéd).
Reneszánsz (14. sz. – 16. sz.);Az „újjászületés” kora, amely az antik értékeket fedezi fel újra, a sokoldalú embert állítva a középpontba (humanizmus).;Életöröm, polgárosodás, természetkultusz, egyéniség (individuum), szonett, novella, tudományok virágzása (pl. Janus Pannonius, Balassi Bálint, Boccaccio).
Barokk (16. sz. vége – 18. sz. közepe);A monumentalitás, a túldíszítettség és az ellenreformáció korszaka, amely a földi és égi világ feszültségét ábrázolja.;Dinamizmus, pátosz, illúziókeltés, bonyolult körmondatok, erős ellentétek, vallási vitairat, hősi eposz (pl. Pázmány Péter, Zrínyi Miklós, Mikes Kelemen).
Felvilágosodás (18. sz. – 19. sz. eleje);Eszmetörténeti korszak. Az ész és a ráció kora, amely a tudatlanság ellen küzd és a polgári szabadságjogokat hirdeti.;Észközpontúság (racionalizmus), tapasztalat (empirizmus), nevelő szándék, enciklopédiák, fejlődésbe vetett hit (pl. Voltaire, Rousseau, Bessenyei György).
Klasszicizmus (17. sz. – 19. sz. eleje);A felvilágosodással egybefonódó művészeti korstílus, amely az antik mintákat követve a rendet és a tiszta formákat keresi.;Szabálykövetés (pl. drámai hármas egység), értelmi ellenőrzés, egyszerűség, arányosság, műfaji tisztaság (pl. Molière, Kazinczy Ferenc, Berzsenyi Dániel).
Szentimentalizmus (18. sz. vége – 19. sz. eleje);Az érzelmek kultusza, a klasszicizmus hűvös racionalizmusával szemben az egyén belső világára és a fájdalomra fókuszál.;Érzékenység, mélabú (spleen), természetbe menekülés, napló- és levélregények, elégiák (pl. Goethe: Werther, Kármán József, Csokonai Vitéz Mihály).
Romantika (18. sz. vége – 19. sz. második fele);Az egyéni szabadság, a képzelet és az érzelmek lázadása a szabályok ellen. A nemzeti öntudat ébredésének kora.;Múltba fordulás, egzotikum, elvágyódás, népiesség, zsenikultusz, vátesz-szerep, éles ellentétek (pl. Vörösmarty Mihály, Petőfi Sándor, Jókai Mór, Victor Hugo).
Realizmus (19. sz. közepe – 20. sz. eleje);A valóság kendőzetlen, objektív, társadalmilag hiteles és tárgyilagos ábrázolására törekvő irányzat.;Tipizálás (tipikus hős tipikus helyzetben), ok-okozati összefüggések, részletező társadalom- és környezetrajz, lélektan (pl. Mikszáth Kálmán, Balzac, Dosztojevszkij).
Naturalizmus (19. sz. második fele);A realizmus végletes, tudományos alaposságú (biológiai, társadalmi) továbbfejlesztése, amely a nyers valóságot mutatja be.;Ösztönök determinációja, társadalmi nyomor, rútesztétika, fényképszerű pontosság, tabudöntögetés (pl. Móricz Zsigmond korai művei, Émile Zola).
Klasszikus modernség: Impresszionizmus (19. sz. vége);A pillanatnyi benyomások, a hangulatok és a fény-árnyék játékok irodalmi megörökítése a realizmus ellenhatásaként.;Pillanat-esztétika, zeneiség, névszói stílus, színek, finom hangulatok, szinesztézia (pl. Juhász Gyula, Tóth Árpád, Verlaine).
Klasszikus modernség: Szimbolizmus (19. sz. vége);Elfordulás a valóságtól a belső látomások, a kimondhatatlan és a rejtett jelentések (szimbólumok) felé.;Jelképek, zeneiség, többértelműség, dekadencia, a világ mint titkos összefüggések hálózata (pl. Ady Endre, Baudelaire, Rimbaud).
Klasszikus modernség: Szecesszió (19. sz. vége);Kivonulás a tömegkultúrából a díszített, indázó, túlfinomult, esztétizáló formák világába.;Dekorativitás, ornamentika, erotika, halálkultusz, rendkívül kifinomult, zenei stílus (pl. Krúdy Gyula, Babits Mihály korai művei).
Avantgárd (20. sz. eleje);„Előőrs”. Radikális művészeti mozgalmak (izmusok), amelyek harsányan szakítanak minden hagyománnyal és polgári formával.;Polgárpukkasztás, formai bontás, lázadás, manifesztumok, újító technikák, szabadvers, montázs (pl. Kassák Lajos, Apollinaire).
Avantgárd: Izmusok (20. sz. eleje);A modern művészet radikális ágai: Futurizmus, Expresszionizmus, Kubizmus, Dadaizmus, Szürrealizmus, Konstruktivizmus.;Sebesség és gép dicsérete (futurizmus), belső feszültség kivetítése (expresszionizmus), tudatalatti és álom (szürrealizmus), antilogika (dadaizmus).
Késő modernség / Újklasszicizmus (20. sz. közepe);Az avantgárd rombolása utáni visszatérés a zártabb formákhoz, a tárgyilagossághoz és a klasszikus, antik mítoszokhoz.;Tárgyias líra, mítoszok újraírása, fegyelmezett forma, egzisztencializmus, elidegenedés, szorongás (pl. József Attila, Radnóti Miklós, Babits kései művei, Kafka).
Posztmodern (20. sz. második fele – napjaink);A „nagy elbeszélésekben” és az egyetlen, objektív igazságban való hit vége. A valóság megismerhetőségének megkérdőjelezése.;Intertextualitás (szövegköztiség), irónia, játékosság, töredékesség, a műfajok keveredése, olvasói szerep felértékelődése (pl. Esterházy Péter, Örkény István, Borges).
